@relation Carbonylation

@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric
@attribute Feature11 numeric
@attribute Feature12 numeric
@attribute Feature13 numeric
@attribute Feature14 numeric
@attribute Feature15 numeric
@attribute Feature16 numeric
@attribute Feature17 numeric
@attribute Feature18 numeric
@attribute Feature19 numeric
@attribute Feature20 numeric
@attribute Feature21 numeric
@attribute Feature22 numeric
@attribute Feature23 numeric
@attribute Feature24 numeric
@attribute Feature25 numeric
@attribute Feature26 numeric
@attribute Feature27 numeric
@attribute Feature28 numeric
@attribute Feature29 numeric
@attribute Feature30 numeric
@attribute Feature31 numeric
@attribute Feature32 numeric
@attribute Feature33 numeric
@attribute Feature34 numeric
@attribute Feature35 numeric
@attribute Feature36 numeric
@attribute Feature37 numeric
@attribute Feature38 numeric
@attribute Feature39 numeric
@attribute Feature40 numeric
@attribute Feature41 numeric
@attribute Feature42 numeric
@attribute Feature43 numeric
@attribute Feature44 numeric
@attribute Feature45 numeric
@attribute Feature46 numeric
@attribute Feature47 numeric
@attribute Feature48 numeric
@attribute Feature49 numeric
@attribute Feature50 numeric
@attribute Feature51 numeric
@attribute Feature52 numeric
@attribute Feature53 numeric
@attribute Feature54 numeric
@attribute Feature55 numeric
@attribute Feature56 numeric
@attribute Feature57 numeric
@attribute Feature58 numeric
@attribute Feature59 numeric
@attribute Feature60 numeric
@attribute Feature61 numeric
@attribute Feature62 numeric
@attribute Feature63 numeric
@attribute Feature64 numeric
@attribute Feature65 numeric
@attribute Feature66 numeric
@attribute Feature67 numeric
@attribute Feature68 numeric
@attribute Feature69 numeric
@attribute Feature70 numeric
@attribute Feature71 numeric
@attribute Feature72 numeric
@attribute Feature73 numeric
@attribute Feature74 numeric
@attribute Feature75 numeric
@attribute Feature76 numeric
@attribute Feature77 numeric
@attribute Feature78 numeric
@attribute Feature79 numeric
@attribute Feature80 numeric
@attribute Feature81 numeric
@attribute Feature82 numeric
@attribute Feature83 numeric
@attribute Feature84 numeric
@attribute Feature85 numeric
@attribute Feature86 numeric
@attribute Feature87 numeric
@attribute Feature88 numeric
@attribute Feature89 numeric
@attribute Feature90 numeric
@attribute Feature91 numeric
@attribute Feature92 numeric
@attribute Feature93 numeric
@attribute Feature94 numeric
@attribute Feature95 numeric
@attribute Feature96 numeric
@attribute Feature97 numeric
@attribute Feature98 numeric
@attribute Feature99 numeric
@attribute Feature100 numeric
@attribute Feature101 numeric
@attribute Feature102 numeric
@attribute Feature103 numeric
@attribute Feature104 numeric
@attribute Feature105 numeric
@attribute Feature106 numeric
@attribute Feature107 numeric
@attribute Feature108 numeric
@attribute Feature109 numeric
@attribute Feature110 numeric
@attribute Feature111 numeric
@attribute Feature112 numeric
@attribute Feature113 numeric
@attribute Feature114 numeric
@attribute Feature115 numeric
@attribute Feature116 numeric
@attribute Feature117 numeric
@attribute Feature118 numeric
@attribute Feature119 numeric
@attribute Feature120 numeric
@attribute Feature121 numeric
@attribute Feature122 numeric
@attribute Feature123 numeric
@attribute Feature124 numeric
@attribute Feature125 numeric
@attribute Feature126 numeric
@attribute Feature127 numeric
@attribute Feature128 numeric
@attribute Feature129 numeric
@attribute Feature130 numeric
@attribute Feature131 numeric
@attribute Feature132 numeric
@attribute Feature133 numeric
@attribute Feature134 numeric
@attribute Feature135 numeric
@attribute Feature136 numeric
@attribute Feature137 numeric
@attribute Feature138 numeric
@attribute Feature139 numeric
@attribute Feature140 numeric
@attribute Feature141 numeric
@attribute Feature142 numeric
@attribute Feature143 numeric
@attribute Feature144 numeric
@attribute Feature145 numeric
@attribute Feature146 numeric
@attribute Feature147 numeric
@attribute Feature148 numeric
@attribute Feature149 numeric
@attribute Feature150 numeric
@attribute Feature151 numeric
@attribute Feature152 numeric
@attribute Feature153 numeric
@attribute Feature154 numeric
@attribute Feature155 numeric
@attribute Feature156 numeric
@attribute Feature157 numeric
@attribute Feature158 numeric
@attribute Feature159 numeric
@attribute Feature160 numeric
@attribute Feature161 numeric
@attribute Feature162 numeric
@attribute Feature163 numeric
@attribute Feature164 numeric
@attribute Feature165 numeric
@attribute Feature166 numeric
@attribute Feature167 numeric
@attribute Feature168 numeric
@attribute Feature169 numeric
@attribute Feature170 numeric
@attribute Feature171 numeric
@attribute Feature172 numeric
@attribute Feature173 numeric
@attribute Feature174 numeric
@attribute Feature175 numeric
@attribute Feature176 numeric
@attribute Feature177 numeric
@attribute Feature178 numeric
@attribute Feature179 numeric
@attribute Feature180 numeric
@attribute Feature181 numeric
@attribute Feature182 numeric
@attribute Feature183 numeric
@attribute Feature184 numeric
@attribute Feature185 numeric
@attribute Feature186 numeric
@attribute Feature187 numeric
@attribute Feature188 numeric
@attribute Feature189 numeric
@attribute Feature190 numeric
@attribute Feature191 numeric
@attribute Feature192 numeric
@attribute Feature193 numeric
@attribute label {1,0}

@data
0.334000,-1.540000,-1.178000,2.019000,-0.003000,0.063000,1.713000,-9.947600,-585.498967,-9.078700,-74.017437,1.602000,-881.137604,104.127814,-37.181614,-0.366000,-0.142000,-0.823000,2.258000,1.541000,1.088000,-0.366000,-0.875000,1.713000,-0.793000,-29.945159,-0.223000,-0.198000,-2.598000,1.713000,-0.828000,-0.844000,0.566000,-1.770000,-0.788000,2.019000,-479.222941,1.541000,-0.051000,-0.099000,1.417000,2.258000,-0.823000,-0.641000,0.976000,0.125000,-2.598000,1.263000,-0.350000,1.713000,-0.175000,-1.178000,0.125000,-0.836000,1.602000,0.241000,1.303000,0.561000,-0.596000,-1.647000,-0.198000,0.941000,-0.696000,-0.142000,-0.152000,1.713000,-1.540000,2.258000,-0.823000,-0.844000,-0.411000,-0.106000,-0.185000,-24.594600,-200.505100,-0.464000,-0.836000,0.063000,-0.180000,0.561000,1.541000,-1.647000,0.844000,1.713000,-1.698000,-0.788000,-0.152000,0.334000,2.019000,-0.875000,0.672000,0.637000,1.713000,-0.099000,-1.697000,-0.106000,1.263000,-0.003000,-1.498000,-0.732000,-0.099000,-1.592000,0.832000,0.383000,-0.051000,-0.760000,1.602000,-0.762000,1.541000,2.839000,-0.760000,-1.540000,0.844000,-2.598000,2.258000,-0.762000,1.713000,12.011000,-0.696000,-0.596000,-1.111000,-0.844000,-0.168000,-0.034000,0.221000,-2.598000,-0.051000,2.226000,-0.753000,-0.696000,0.125000,0.267000,-0.712000,-0.873000,1.713000,-0.875000,0.063000,-0.366000,0.162000,-0.142000,-2.598000,-0.793000,-0.732000,0.795000,2.019000,2.019000,109.720585,-1.592000,-0.793000,0.561000,1.713000,0.334000,1.088000,-0.034000,-0.223000,0.221000,0.300000,0.976000,0.789000,-0.083000,1.602000,-0.642000,-0.924000,0.334000,-0.340000,-0.034000,0.637000,0.063000,-0.198000,0.789000,1.263000,-0.828000,-1.770000,-71.232300,-0.836000,-1.178000,-1.985000,1.541000,0.649000,-0.168000,-0.875000,-0.198000,0.561000,0.795000,0.976000,0.976000,-0.828000,2.258000,1.713000,-0.844000,-1.178000,1.713000,-0.788000,1
0.334000,-1.540000,-1.178000,2.019000,-0.003000,0.063000,1.713000,-9.523500,-466.413300,-8.204200,-78.295304,1.602000,-1133.411881,66.369114,-31.308443,-0.142000,1.602000,2.019000,-0.340000,0.976000,-1.540000,1.602000,-0.836000,-0.578000,-0.712000,-44.540978,-0.142000,0.334000,-0.873000,-0.844000,-0.762000,1.713000,-0.712000,-0.823000,-0.836000,0.125000,-617.573304,1.232000,-1.540000,1.713000,-0.873000,-0.294000,0.125000,0.125000,0.411000,2.019000,0.657000,0.300000,1.602000,0.221000,0.561000,0.241000,0.976000,-0.875000,-0.142000,-1.178000,-0.875000,-0.642000,-0.198000,-0.106000,0.300000,0.844000,-0.960000,-0.340000,-0.685000,-0.152000,1.088000,-0.142000,0.125000,0.221000,-0.801000,2.258000,0.241000,-16.933600,-138.049600,2.019000,-0.175000,0.502000,0.844000,-0.836000,-1.770000,-0.325000,0.015000,-0.152000,-1.647000,-0.875000,0.221000,-0.198000,2.019000,-0.875000,2.258000,1.109000,-0.844000,-0.844000,-0.844000,-0.152000,-0.198000,-0.762000,0.015000,-1.178000,-0.844000,-0.662000,1.088000,-0.671000,1.088000,0.637000,-0.152000,-0.960000,1.541000,-0.836000,-0.185000,1.088000,0.795000,0.637000,2.258000,-0.168000,0.274000,62.628988,1.449000,0.334000,1.713000,-0.152000,-0.564000,0.795000,1.713000,-2.598000,1.088000,-0.198000,-1.178000,-0.762000,0.976000,-1.540000,-0.793000,-1.540000,1.713000,-0.836000,0.844000,-0.142000,-0.696000,-1.647000,1.088000,-0.793000,0.241000,-0.034000,0.125000,-0.823000,155.591864,1.263000,-0.550000,-0.836000,1.713000,-1.061000,0.637000,0.454000,0.125000,1.713000,1.263000,-1.770000,-0.793000,-0.034000,1.602000,-0.788000,-0.760000,-0.198000,2.258000,-0.083000,-2.598000,0.844000,-1.592000,0.525000,0.400000,-0.003000,1.541000,-112.902237,-0.642000,0.525000,-0.034000,0.125000,-0.083000,-0.960000,-0.788000,0.334000,0.561000,0.502000,1.541000,2.019000,-0.762000,-0.106000,1.713000,1.713000,0.241000,-0.844000,-0.836000,1
0.334000,-1.540000,-1.178000,2.019000,-0.003000,0.063000,1.713000,-9.011700,-460.082500,-5.279367,-46.166493,1.602000,-696.095407,145.796486,-58.618343,1.602000,-0.142000,2.019000,-0.340000,0.976000,1.088000,1.602000,-0.836000,1.713000,-0.712000,-45.858185,-0.223000,-0.198000,-0.873000,-0.844000,-0.003000,-0.844000,-0.712000,1.232000,-0.875000,0.125000,-629.465548,2.019000,-1.540000,1.713000,-0.873000,1.602000,-1.770000,-0.641000,-1.770000,0.125000,-1.540000,0.300000,-0.294000,0.221000,-0.175000,0.566000,0.976000,-0.836000,-0.142000,0.241000,-0.836000,0.561000,-1.592000,-0.350000,0.300000,0.941000,-0.696000,-0.340000,-0.578000,1.713000,1.417000,0.672000,2.019000,0.221000,-1.540000,2.258000,-0.185000,-0.000000,-0.000000,1.232000,-0.875000,0.649000,0.063000,-0.875000,1.541000,-0.106000,0.063000,-1.111000,-0.142000,-0.875000,1.713000,1.462000,-1.770000,-0.642000,1.602000,0.657000,-1.111000,-0.152000,-1.697000,-0.294000,0.632000,-0.531000,0.844000,-1.178000,1.713000,0.400000,0.832000,0.789000,0.637000,0.267000,-0.142000,-0.894000,-0.464000,2.839000,0.637000,0.267000,0.502000,-2.598000,-0.350000,-0.003000,-0.152000,16.571987,-0.003000,0.334000,-0.578000,-0.685000,-0.960000,-0.034000,-1.111000,0.267000,-1.540000,2.226000,-0.550000,0.426000,2.019000,0.657000,-0.712000,0.267000,-0.844000,1.303000,0.063000,-0.106000,0.162000,1.602000,-0.411000,-0.753000,-1.178000,-0.034000,-0.464000,0.125000,-148.933789,1.263000,-1.178000,1.089000,-1.111000,-1.592000,1.109000,0.063000,2.019000,0.221000,0.300000,-0.464000,-0.793000,-0.083000,-0.106000,-0.836000,1.088000,-0.198000,-0.340000,-0.083000,-2.598000,0.649000,-0.662000,-0.550000,0.334000,-0.003000,1.541000,-110.852900,-0.788000,0.566000,0.063000,-0.223000,-0.083000,0.558000,-0.836000,0.334000,1.303000,0.454000,0.976000,-0.464000,-0.960000,2.258000,-0.152000,1.713000,-0.753000,-0.152000,-0.642000,1
0.334000,-1.540000,-1.178000,2.019000,-0.003000,0.063000,1.713000,-5.331300,-313.941000,-3.391567,-49.585915,1.602000,-792.650385,112.536743,-49.010814,-0.132000,-0.106000,0.125000,-0.325000,0.411000,0.637000,-0.142000,-0.836000,-0.844000,-0.671000,-47.121126,2.258000,-1.592000,-0.185000,-0.844000,-0.828000,-0.152000,-0.671000,2.019000,-0.527000,0.125000,-697.243759,0.125000,1.417000,-0.844000,-0.185000,-0.142000,1.232000,1.541000,0.125000,-1.770000,1.088000,-1.061000,-0.142000,0.274000,-0.527000,0.566000,0.411000,-0.642000,-0.142000,0.789000,-0.836000,-0.642000,0.400000,-0.350000,-1.061000,-0.034000,-0.960000,-0.325000,1.713000,-0.152000,1.417000,-0.142000,-1.579000,0.274000,-0.185000,0.672000,-0.793000,-24.594600,-200.505100,0.125000,-0.175000,-0.034000,0.746000,-0.836000,-1.770000,-1.698000,0.015000,-1.111000,1.602000,-0.836000,0.274000,-0.696000,0.976000,-0.175000,-0.325000,-1.540000,0.115000,-0.578000,1.713000,1.602000,-0.198000,-0.531000,0.063000,0.566000,0.115000,0.334000,-2.598000,0.241000,0.657000,0.267000,2.258000,0.162000,1.232000,0.561000,-0.924000,0.123000,-0.083000,0.637000,-0.294000,-0.168000,1.713000,29.746788,-0.762000,-0.198000,-0.844000,0.221000,-0.135000,0.795000,0.274000,0.657000,0.493000,1.263000,0.241000,-0.762000,0.976000,1.088000,0.241000,-0.185000,1.713000,0.950000,-0.961000,-0.294000,-0.828000,-1.647000,1.088000,-0.550000,0.241000,-1.985000,-1.395000,1.541000,88.775082,0.632000,0.241000,-0.836000,-0.578000,-0.131000,-0.873000,0.844000,0.411000,0.115000,-2.057000,-0.464000,-1.037000,0.746000,-1.647000,-0.875000,-1.540000,-0.198000,-0.132000,0.112000,-0.411000,0.649000,0.300000,-1.178000,-0.198000,-0.531000,-0.223000,-97.967963,-0.175000,-0.793000,0.112000,0.125000,0.112000,0.558000,0.561000,0.334000,-0.836000,0.063000,-1.579000,0.411000,1.449000,-0.106000,1.713000,1.713000,2.270000,-0.844000,-0.836000,1
0.334000,-1.540000,-1.178000,2.019000,-0.003000,0.063000,1.713000,-2.662700,-149.140300,0.190100,-28.004378,1.602000,-10.330456,154.456057,-64.252743,-0.208000,-0.152000,-1.395000,-1.647000,0.976000,1.109000,-0.010000,1.089000,1.713000,0.383000,-49.606881,-1.647000,-0.662000,-0.760000,-0.152000,0.162000,-0.685000,-0.712000,-0.464000,1.381000,-0.223000,-748.982863,0.125000,0.123000,0.115000,-0.873000,-1.698000,0.125000,0.976000,0.411000,-0.823000,-0.924000,0.334000,-0.152000,1.713000,-0.725000,-1.037000,0.976000,-0.788000,0.672000,0.525000,-0.788000,-0.788000,-0.164000,1.602000,0.300000,0.015000,-0.828000,-0.340000,-1.111000,-0.099000,-0.411000,-0.142000,-0.354000,0.221000,1.222000,-0.340000,0.383000,-33.061400,-269.529900,-0.823000,-0.836000,-0.180000,1.917000,-0.098000,-0.823000,-0.660000,0.844000,1.713000,-1.647000,0.950000,-1.217000,-0.662000,-0.823000,-0.788000,-0.208000,0.267000,-0.685000,0.221000,1.713000,-0.350000,-0.198000,0.426000,0.015000,2.270000,-1.217000,1.462000,-0.760000,2.635000,-0.801000,-1.540000,-0.366000,0.162000,-1.770000,-0.175000,0.298000,1.109000,-0.083000,-0.051000,-0.106000,-0.762000,-0.418000,39.301100,-0.135000,-0.696000,-0.685000,0.221000,1.020000,-0.180000,-0.152000,0.637000,1.222000,0.334000,0.525000,-0.762000,0.125000,1.109000,2.635000,0.637000,1.713000,-0.788000,0.502000,2.258000,1.020000,-0.142000,1.088000,0.789000,-0.489000,-0.083000,-0.823000,-0.823000,-25.337511,0.300000,0.241000,-0.836000,-0.152000,-0.530000,-0.873000,-1.498000,-0.354000,-0.418000,-0.530000,2.019000,-0.712000,-2.327000,-0.152000,1.303000,-0.760000,0.632000,-0.660000,0.015000,-0.873000,-1.985000,0.300000,-0.753000,-0.131000,-0.663000,0.976000,-106.353737,-0.175000,-0.732000,1.917000,0.125000,-0.083000,-0.003000,-0.788000,-0.198000,-0.642000,0.063000,0.411000,-1.770000,-0.069000,-0.366000,-0.685000,-0.844000,0.525000,-0.844000,-0.098000,1
0.334000,-1.540000,-1.178000,2.019000,-0.003000,0.063000,1.713000,-3.889500,-197.854133,-0.439167,-31.699915,1.602000,-313.636737,142.650971,-55.597643,-0.106000,-0.142000,0.411000,-0.132000,-1.579000,1.088000,-0.325000,-0.725000,0.221000,0.241000,-39.688233,-1.647000,-0.198000,0.493000,-0.418000,-0.960000,-0.844000,0.241000,0.411000,-0.642000,0.411000,-498.385019,0.125000,-0.185000,0.274000,-0.924000,2.258000,-0.223000,0.976000,-0.823000,0.125000,-0.801000,-2.057000,-1.698000,0.115000,-0.175000,2.635000,0.125000,-0.836000,-0.660000,0.241000,-0.098000,-0.725000,0.632000,-0.142000,-0.131000,0.015000,1.020000,-1.698000,-0.418000,-0.418000,0.298000,-0.152000,-1.770000,1.713000,-0.924000,-0.366000,0.383000,-39.916600,-325.416100,0.125000,-0.725000,1.917000,0.795000,-0.098000,0.411000,-0.366000,0.112000,-0.844000,-0.366000,-0.725000,1.713000,-0.662000,0.125000,-0.836000,-1.698000,0.298000,-0.685000,-0.152000,1.713000,-0.660000,-0.662000,1.020000,-0.180000,-0.671000,-0.152000,-0.530000,-0.760000,-0.732000,-0.411000,1.088000,-0.208000,-0.960000,2.019000,-0.175000,-0.051000,1.109000,0.795000,0.298000,1.602000,-0.564000,-0.099000,34.897662,-0.069000,-1.061000,1.713000,-0.152000,-0.828000,-2.327000,1.713000,-1.540000,0.637000,0.334000,0.241000,-0.894000,0.411000,-0.924000,0.383000,-1.540000,-0.099000,-0.788000,0.502000,0.672000,-0.168000,-0.325000,1.109000,-1.178000,0.789000,-0.180000,-0.823000,-0.354000,200.114751,-0.596000,-0.793000,-0.788000,1.713000,-0.596000,0.637000,-0.034000,0.125000,1.713000,0.334000,0.125000,-0.732000,0.015000,-0.142000,-0.725000,-0.051000,-0.530000,-1.647000,0.746000,-0.051000,-2.327000,-1.592000,2.635000,-0.164000,-0.564000,-0.823000,-76.257487,-0.642000,-0.489000,-1.498000,-0.823000,-1.498000,-0.762000,1.381000,-1.061000,-0.875000,-2.327000,0.976000,2.019000,0.426000,-0.660000,-0.844000,0.274000,0.525000,-0.685000,1.089000,1
0.334000,-1.540000,-1.178000,2.019000,-0.003000,0.063000,1.713000,-4.104500,-265.227167,-2.762300,-42.101156,1.602000,-522.568063,145.809029,-62.298771,-0.106000,2.258000,1.232000,-1.647000,0.976000,-2.598000,-0.294000,-0.725000,-0.418000,0.383000,-41.024452,-1.698000,1.263000,-0.760000,-0.418000,-0.960000,1.713000,0.241000,0.976000,-0.642000,0.411000,-566.712537,0.411000,0.657000,-0.578000,0.493000,-0.660000,-1.395000,0.125000,-0.223000,1.541000,0.298000,0.334000,-0.106000,1.713000,-0.175000,2.635000,-1.579000,0.561000,-0.660000,-0.793000,-0.642000,-0.175000,-0.696000,-0.142000,-2.057000,-1.498000,0.162000,-0.132000,1.713000,0.221000,0.298000,-0.366000,-1.770000,0.115000,0.298000,2.258000,0.241000,-49.995000,-407.579500,-1.770000,-0.175000,-0.034000,0.795000,-0.725000,0.976000,0.672000,-0.083000,-0.844000,-1.647000,-0.836000,-0.418000,0.334000,0.976000,-0.175000,-0.660000,-0.760000,1.713000,0.115000,1.713000,-1.647000,-0.596000,1.020000,0.015000,-0.550000,-0.152000,0.334000,-0.924000,-1.037000,0.123000,1.088000,2.258000,0.558000,0.125000,-0.098000,-0.411000,-1.540000,0.063000,-0.873000,-0.142000,0.162000,-0.152000,14.025087,1.020000,0.400000,-0.152000,-1.111000,0.426000,-0.083000,-1.217000,1.088000,0.637000,-0.131000,0.789000,-0.828000,0.976000,0.637000,0.383000,1.222000,1.713000,-0.875000,0.063000,-0.010000,-0.168000,-0.340000,-0.051000,0.241000,0.789000,-0.034000,2.019000,0.125000,-75.375485,1.263000,2.635000,-0.788000,-0.844000,0.632000,0.267000,-2.327000,0.411000,1.713000,0.334000,0.125000,-0.793000,0.015000,-1.647000,-0.175000,-0.760000,-0.530000,-1.647000,0.015000,-2.598000,-2.327000,1.462000,0.383000,-0.530000,1.449000,1.541000,-68.319237,1.303000,-0.793000,-2.327000,-0.823000,0.746000,-0.762000,-0.098000,0.300000,-0.836000,0.015000,0.976000,-0.354000,-0.663000,-0.340000,1.713000,0.221000,-1.178000,-0.099000,0.950000,1
0.334000,-1.540000,-1.178000,2.019000,-0.003000,0.063000,1.713000,-4.313600,-316.939800,-1.313667,-52.531904,1.602000,-630.468881,129.718014,-43.880386,-1.647000,-1.647000,0.125000,-0.106000,-1.770000,-0.760000,2.258000,1.381000,-0.099000,0.789000,-46.212767,-1.647000,0.334000,0.637000,-1.217000,-0.168000,1.713000,-1.037000,-0.823000,-0.175000,-0.354000,-648.175615,-0.823000,-0.801000,0.221000,-0.411000,-0.366000,0.125000,0.976000,-0.464000,0.976000,-0.051000,-1.592000,-0.142000,-0.152000,-0.098000,-0.489000,-0.223000,-0.175000,-0.208000,0.383000,-0.836000,0.950000,-0.198000,0.672000,0.632000,0.015000,-0.663000,0.672000,-0.099000,0.115000,1.222000,-0.106000,0.976000,-0.152000,-2.598000,-0.660000,0.383000,-33.061400,-269.529900,0.125000,-0.875000,0.649000,0.015000,-0.788000,-1.395000,-0.350000,0.063000,-0.152000,-0.350000,-0.098000,1.713000,0.931000,-0.464000,1.303000,2.258000,-0.051000,-1.217000,-0.844000,1.713000,-0.366000,-1.592000,0.162000,0.063000,-0.793000,1.713000,-0.596000,-0.760000,-0.753000,1.088000,-0.411000,-0.142000,0.162000,1.232000,-0.175000,0.267000,1.222000,1.917000,0.123000,-0.294000,-0.003000,-1.111000,-3.291050,-0.828000,-0.164000,-0.844000,-1.217000,0.558000,-0.961000,1.713000,0.657000,-0.760000,0.334000,0.241000,-0.960000,2.019000,1.088000,0.241000,-2.598000,-1.111000,1.381000,1.917000,-0.142000,-0.135000,1.602000,0.637000,-0.550000,0.383000,-2.327000,-0.354000,0.125000,-122.960485,-0.530000,-0.732000,-0.642000,-0.578000,1.462000,1.222000,-0.180000,1.541000,1.713000,-0.131000,-0.223000,2.635000,-1.498000,-0.350000,-0.788000,0.267000,0.931000,-1.698000,0.795000,0.298000,1.917000,0.931000,-0.732000,-0.596000,-0.069000,0.411000,-104.563537,1.381000,0.566000,-0.034000,-1.770000,-1.985000,0.426000,-0.836000,0.334000,-0.836000,-0.180000,0.125000,1.541000,-0.762000,-0.010000,-1.111000,1.713000,-0.489000,-0.152000,-0.836000,1
0.334000,-1.540000,-1.178000,2.019000,-0.003000,0.063000,1.713000,-3.383600,-207.183733,-1.286100,-38.360419,1.602000,-688.157656,131.748186,-50.821500,-0.142000,-0.106000,0.976000,-0.366000,-0.823000,0.637000,-1.647000,1.381000,-1.217000,-0.732000,-51.200181,-0.142000,-1.592000,-0.051000,-1.217000,-0.762000,-0.152000,0.789000,-0.464000,-0.836000,-0.354000,-771.235633,-0.354000,-0.760000,1.713000,0.637000,-0.208000,2.019000,0.125000,-1.770000,-1.770000,1.222000,-0.596000,-0.106000,-0.099000,0.950000,-0.489000,-1.770000,-0.642000,-0.208000,0.789000,-0.642000,-0.175000,0.334000,-0.660000,-1.592000,0.844000,0.162000,-0.106000,-1.111000,0.221000,1.222000,-0.208000,0.125000,-0.152000,-0.760000,-0.010000,0.241000,-16.933600,-138.049600,-1.770000,0.561000,1.917000,0.844000,1.381000,0.976000,-0.106000,-0.034000,-0.418000,-0.106000,-0.175000,1.713000,-1.592000,-0.464000,1.303000,-1.647000,0.267000,-0.152000,1.713000,-0.844000,-0.350000,0.931000,0.162000,0.795000,0.383000,-0.844000,1.462000,1.088000,0.789000,-1.540000,0.298000,-0.208000,0.558000,-0.223000,-0.836000,0.637000,0.637000,0.063000,-0.873000,0.672000,-0.696000,-0.152000,21.432375,0.162000,0.334000,-0.152000,-1.111000,-0.960000,-0.083000,-0.418000,-0.411000,1.088000,-0.198000,0.789000,0.162000,1.541000,0.637000,2.270000,0.298000,-0.152000,-0.642000,0.795000,1.602000,-0.663000,2.258000,1.222000,-1.037000,0.241000,-0.961000,-1.770000,-0.354000,-154.768470,-0.696000,-0.489000,1.381000,-0.152000,-1.592000,0.267000,1.917000,0.976000,0.115000,-0.696000,0.411000,2.270000,-0.961000,-0.350000,1.303000,0.637000,0.931000,-0.010000,-0.180000,0.123000,1.917000,1.462000,-0.753000,0.931000,-0.168000,-1.395000,-132.539775,1.303000,-0.489000,0.015000,-0.354000,0.795000,1.020000,1.381000,1.263000,1.089000,0.063000,-1.395000,0.411000,-0.003000,-0.340000,-1.111000,1.713000,0.789000,-1.217000,-0.875000,1
0.334000,-1.540000,-1.178000,2.019000,-0.003000,0.063000,1.713000,-4.401300,-204.184933,-3.364000,-51.639711,1.602000,-382.958637,101.521171,-43.064829,-0.660000,-0.142000,0.411000,1.602000,2.019000,1.088000,-0.660000,-0.642000,-0.152000,-1.178000,-43.628170,-0.340000,-0.198000,-1.540000,-0.152000,1.020000,-0.844000,-0.732000,-1.770000,-0.725000,-1.770000,-601.505270,-1.770000,0.298000,-0.418000,-0.051000,-0.106000,0.411000,0.976000,1.541000,0.125000,0.637000,0.334000,-1.698000,1.713000,-0.175000,0.789000,-0.823000,-0.836000,-0.106000,0.241000,-0.098000,-0.836000,-0.530000,-1.647000,-0.596000,-0.083000,-0.762000,-0.366000,-0.152000,-0.844000,0.637000,-0.106000,0.411000,-0.099000,1.088000,1.602000,-0.712000,-39.916600,-325.416100,0.125000,-0.642000,-0.961000,-2.327000,-0.642000,0.125000,2.258000,0.795000,1.713000,-0.142000,-0.725000,-0.844000,-0.131000,-1.770000,-0.642000,-0.142000,0.637000,1.713000,-0.418000,0.221000,-0.106000,-1.592000,-0.960000,0.844000,2.635000,-0.418000,-1.592000,-0.873000,-0.793000,0.298000,-0.760000,-0.010000,0.162000,-0.464000,-0.175000,-2.598000,-0.924000,1.917000,1.088000,-0.350000,-0.960000,1.713000,57.272650,-0.960000,-0.530000,1.713000,-1.217000,-0.696000,0.844000,1.713000,0.267000,0.298000,0.300000,0.241000,-0.960000,-1.770000,-0.924000,0.383000,-0.924000,-0.844000,-0.098000,-1.498000,-0.660000,-0.168000,-0.106000,0.637000,-0.753000,2.635000,0.063000,0.125000,-1.395000,109.964900,0.334000,0.789000,-0.642000,-1.111000,1.263000,1.222000,0.795000,0.125000,1.713000,0.334000,0.976000,-1.178000,0.015000,-0.106000,-0.642000,1.088000,-1.592000,-1.647000,0.063000,-1.540000,0.795000,0.931000,0.789000,-1.592000,1.020000,2.019000,-105.191675,1.381000,2.270000,0.844000,-1.770000,-0.180000,-0.168000,0.950000,-1.592000,1.303000,0.795000,0.976000,0.125000,1.020000,-0.142000,-0.152000,-0.152000,0.241000,-0.152000,-0.725000,1
